id, img
ad, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ad.svg
ae, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ae.svg
af, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/af.svg
ag, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ag.svg
ai, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ai.svg
al, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/al.svg
am, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/am.svg
ao, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ao.svg
aq, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/aq.svg
ar, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ar.svg
as, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/as.svg
at, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/at.svg
au, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/au.svg
aw, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/aw.svg
ax, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ax.svg
az, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/az.svg
ba, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ba.svg
bb, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bb.svg
bd, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bd.svg
be, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/be.svg
bf, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bf.svg
bg, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bg.svg
bh, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bh.svg
bi, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bi.svg
bj, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bj.svg
bl, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bl.svg
bm, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bm.svg
bn, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bn.svg
bo, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bo.svg
bq, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bq.svg
br, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/br.svg
bs, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bs.svg
bt, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bt.svg
bv, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bv.svg
bw, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bw.svg
by, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/by.svg
bz, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/bz.svg
ca, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ca.svg
cc, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cc.svg
cd, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cd.svg
cf, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cf.svg
cg, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cg.svg
ch, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ch.svg
ci, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ci.svg
ck, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ck.svg
cl, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cl.svg
cm, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cm.svg
cn, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cn.svg
co, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/co.svg
cr, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cr.svg
cu, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cu.svg
cv, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cv.svg
cw, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cw.svg
cx, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cx.svg
cy, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cy.svg
cz, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/cz.svg
de, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/de.svg
dj, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/dj.svg
dk, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/dk.svg
dm, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/dm.svg
do, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/do.svg
dz, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/dz.svg
ec, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ec.svg
ee, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ee.svg
eg, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/eg.svg
eh, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/eh.svg
er, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/er.svg
es, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/es.svg
et, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/et.svg
eu, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/eu.svg
fi, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/fi.svg
fj, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/fj.svg
fk, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/fk.svg
fm, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/fm.svg
fo, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/fo.svg
fr, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/fr.svg
ga, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ga.svg
gb, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gb.svg
gb, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gb.svg
gb, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gb.svg
gb, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gb.svg
gb, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gb.svg
gd, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gd.svg
ge, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ge.svg
gf, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gf.svg
gg, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gg.svg
gh, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gh.svg
gi, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gi.svg
gl, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gl.svg
gm, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gm.svg
gn, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gn.svg
gp, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gp.svg
gq, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gq.svg
gr, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gr.svg
gs, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gs.svg
gt, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gt.svg
gu, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gu.svg
gw, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gw.svg
gy, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/gy.svg
hk, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/hk.svg
hm, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/hm.svg
hn, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/hn.svg
hr, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/hr.svg
ht, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ht.svg
hu, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/hu.svg
id, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/id.svg
ie, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ie.svg
il, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/il.svg
im, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/im.svg
in, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/in.svg
io, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/io.svg
iq, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/iq.svg
ir, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ir.svg
is, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/is.svg
it, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/it.svg
je, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/je.svg
jm, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/jm.svg
jo, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/jo.svg
jp, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/jp.svg
ke, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ke.svg
kg, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/kg.svg
kh, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/kh.svg
ki, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/ki.svg
km, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/km.svg
kn, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/kn.svg
kp, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/kp.svg
kr, https://raw.githubusercontent.com/maboglia/country-flags/ba2cf4101bf029d2ada26da2f95121de74581a4d/svg/kr.svg
